WAFER_ID,STAGE,TIMESTAMP,SLURRY_FLOW_LINE_A,SLURRY_FLOW_LINE_B,SLURRY_FLOW_LINE_C,PRESSURIZED_CHAMBER_PRESSURE,MAIN_OUTER_AIR_BAG_PRESSURE,WAFER_ROTATION,STAGE_ROTATION
2058207580,A,486264370.0,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264371.333,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264372.0,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264373.0,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264374.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264375.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264376.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264377.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264378.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264379.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264380.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264381.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264382.333,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264383.0,0.0,0.0,0.0,0.0,0.0,34.6511627907,0.0
2058207580,A,486264384.333,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264385.333,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264386.333,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264387.333,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264388.0,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
2058207580,A,486264389.0,0.0,0.0,0.0,0.0,0.0,34.8837209302,0.0
