WAFER_ID,STAGE,USAGE_OF_BACKING_FILM,USAGE_OF_DRESSER,USAGE_OF_POLISHING_TABLE,USAGE_OF_DRESSER_TABLE,PRESSURIZED_CHAMBER_PRESSURE,MAIN_OUTER_AIR_BAG_PRESSURE,CENTER_AIR_BAG_PRESSURE,RETAINER_RING_PRESSURE,RIPPLE_AIR_BAG_PRESSURE,USAGE_OF_MEMBRANE,USAGE_OF_PRESSURIZED_SHEET,SLURRY_FLOW_LINE_A,SLURRY_FLOW_LINE_B,SLURRY_FLOW_LINE_C,WAFER_ROTATION,STAGE_ROTATION,HEAD_ROTATION,DRESSING_WATER_STATUS,EDGE_AIR_BAG_PRESSURE,AVG_REMOVAL_RATE
-4230160598,A,890.0698458574167,634.4444444440013,207.1868978804889,2734.0,65.99366914393654,203.23005780346864,54.104949421965316,1606.416763005781,7.671177088810117,10.554187895533762,267.0209537572254,5.604126525366668,0.9038360483448055,322.16184971098176,14.553031321407502,57.067234560338576,160.046242774567,0.5809248554913294,38.540024522663124,68.8818
-4230160594,B,1291.9986979160933,659.1160300924757,216.94444444444147,2750.6533203125,93.11569940459897,312.8390624999999,73.184814453125,1834.8585937500013,11.376242897740516,15.320142663033243,387.599609375,4.564887152776643,0.9090909090909978,362.5890624999989,19.457667151156574,38.80448190785101,159.55000000000007,0.484375,47.89062500001606,70.0533
-4230160436,B,3272.8296193128126,768.6887444550704,322.57918085218614,2824.636490250696,66.7621700490539,188.50696378830054,47.879526462395546,1331.79025069638,7.379336540905391,38.80825635548442,981.8488857938719,5.426338594861181,0.8711066092682527,269.96211699164326,18.24836431949211,55.60071836968751,160.47242339832908,0.807799442896936,40.990968177583646,54.3072
-4230160428,A,5922.780214424971,149.94152046789503,275.34113060428734,2925.9619883040937,35.863269284313205,107.60350877192978,29.180372807017545,939.0333333333327,4.0707070707081305,70.23059542793561,1776.8340643274853,5.037361923325056,0.6193514088251538,176.33450292397652,17.041343669248974,58.03824253611171,160.00935672514683,0.6374269005847953,20.260499734177156,75.34995
-4230160424,A,4868.350290698024,93.70370370370051,42.01335055986307,2888.0,34.16389811737562,105.20930232558133,27.890625,830.3485465116273,3.9614164904870948,57.72747380272101,1460.5050872093022,3.112483850128375,0.4968287526427558,171.49999999999977,14.6214169821473,57.523714810229244,160.2139534883726,0.5465116279069767,19.943622269202,78.33015
-4230160424,B,5365.490900382988,119.42741592169514,127.17113665392812,2905.364224137931,33.772577996712045,102.43793103448267,26.19612068965517,878.2172413793098,4.019070010455743,63.62242174367867,1609.6472701149426,3.4019795657707452,0.5094043887147843,178.6609195402298,14.414595028062399,57.331367211074266,160.17471264367865,0.5545977011494253,18.61459421804167,75.97095
-4230160416,B,3500.034246575534,12.768138001036125,198.5225773718466,2833.369178082192,65.27853881277929,197.64164383561643,50.625,1631.0334246575349,7.805479452065595,41.502409442851295,1050.0109589041097,4.761796042617158,0.9066002490660892,328.48219178082167,13.750876075176935,51.035328046100645,160.07013698630186,0.5917808219178082,35.98920713988938,81.83385
-4230160408,A,4953.704523107198,97.58658363378777,117.70348519618568,2890.75,67.47998314367821,208.12743362831844,55.25719026548673,1512.6247787610641,7.82515419683704,58.73957932538338,1486.1113569321533,5.575221238936541,0.9064092249933827,333.1256637168144,14.92693969952122,56.918956683684996,160.29262536873193,0.15634218289085547,39.499418968445134,79.8045
-4230160408,B,5381.860076408596,120.1708585374504,141.77862676424664,2905.8660458452723,66.23140946922565,201.19770773638953,51.440723495702,1683.6154727793694,7.905574368338285,63.81652264516106,1614.5580229226362,5.438952562876612,0.9064860640792741,329.1002865329515,14.241354034778174,57.34165284265042,160.11919770773676,0.5902578796561605,36.5485803594732,83.0358
-4228160702,A,720.4772286821543,626.4717915590063,56.24031007753099,2728.6191860465115,34.432447397552956,105.5267441860464,28.097747093023255,803.6154069767434,4.028276955604075,8.543208245242955,216.14316860465115,3.2638888888881685,0.5047568710359912,174.85348837209287,14.499729583552607,58.40039779676019,160.11162790697708,0.5726744186046512,20.059901338970892,67.42425
